"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","bias_v","bias_factor","p_sets_select","p_monitor","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
18,"Baseline_psets0.9","vessels",7.479797490696,7.47943234902622,0.000365141669786118,0.00398635091243499,-0.0955179297058356,0.0977381325049939,-1.2597285545625,1.30364953976972,1,0,0,0.9,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
19,"Baseline_psets1","sets",7.46469668184375,7.46383238887326,0.000864292970486513,-0.00165982485629805,-0.434183399414788,0.439319722073052,-5.91188674733367,5.92362873626139,1,0,0,1,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
19,"Baseline_psets1","trips",7.44877579390112,7.46383238887326,-0.0150565949721403,-0.143546156364966,-1.28659021662801,1.27641126154956,-15.6003692178121,17.5015970133731,1,0,0,1,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
19,"Baseline_psets1","vessels",7.48622296245319,7.46383238887326,0.0223905735799277,0.333179478445644,-2.1368351336216,2.52279427396599,-27.2236325357756,32.5622216829333,1,0,0,1,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
20,"Baseline_psets1","sets",7.44948004333554,7.44948004333554,0,0,0,0,0,0,1,0,0,1,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
20,"Baseline_psets1","trips",7.44951855518271,7.44948004333554,3.85118471737191e-05,0.000305499754008252,-0.0104553940513026,0.00519757794256881,-0.152747381196286,0.068954832862278,1,0,0,1,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
20,"Baseline_psets1","vessels",7.44948784962367,7.44948004333554,7.80628813305475e-06,8.5186232992267e-05,-0.000194319232139595,0.000601516521955547,-0.00273452958539569,0.00797594472949004,1,0,0,1,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
21,"Vessel bias_psets0.1","sets",7.42689373506639,7.4454133282357,-0.018519593169311,-0.184589031772247,-1.6357743629271,1.59617173116853,-21.6178613692585,21.8582913793856,2,-2,0,0.1,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
21,"Vessel bias_psets0.1","trips",7.46550047377019,7.4454133282357,0.0200871455344886,0.366782242655141,-1.7575279982716,2.25146716099849,-21.9677166266029,29.8575949408055,2,-2,0,0.1,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
21,"Vessel bias_psets0.1","vessels",6.01871400468974,7.4454133282357,-1.42669932354597,-18.9884931967799,-3.64076208638283,1.06956780953545,-44.9483891767697,14.5850608948555,2,-2,0,0.1,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
22,"Vessel bias_psets0.1","sets",7.43114882443932,7.4414258782971,-0.0102770538577835,-0.143432014173464,-0.9146256509513,0.87964364232939,-12.4436240377012,12.026309745557,2,-2,0,0.1,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
22,"Vessel bias_psets0.1","trips",7.46034688162436,7.4414258782971,0.0189210033272567,0.241122844529638,-0.783258387971087,0.882424949476287,-10.6410702666562,11.7823995578704,2,-2,0,0.1,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
22,"Vessel bias_psets0.1","vessels",7.42834143187117,7.4414258782971,-0.0130844464259318,-0.19976628511193,-0.859905965232155,0.882465930813824,-12.1242161508547,11.6236090517114,2,-2,0,0.1,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
23,"Vessel bias_psets0.2","sets",7.46841505158346,7.44070564764377,0.0277094039396944,0.398475155375736,-1.06926524980284,1.16696580063148,-14.331986575416,15.8806134713506,2,-2,0,0.2,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
23,"Vessel bias_psets0.2","trips",7.46771473398505,7.44070564764377,0.0270090863412822,0.340550114416545,-1.43085300158857,1.70854216829234,-18.880504689141,22.6159487199255,2,-2,0,0.2,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
23,"Vessel bias_psets0.2","vessels",6.0477560018749,7.44070564764377,-1.39294964576887,-18.4759503109411,-3.46463472872762,0.920937305226053,-43.4603528869034,12.4874451313095,2,-2,0,0.2,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
24,"Vessel bias_psets0.2","sets",7.44414578007285,7.4343589010533,0.00978687901955059,0.126669330957714,-0.566494825706766,0.645866137392356,-7.4492699534786,8.55851782459648,2,-2,0,0.2,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
24,"Vessel bias_psets0.2","trips",7.43295245443239,7.4343589010533,-0.00140644662090916,-0.0249627903915899,-0.505365023993462,0.546659233871596,-6.59562488328303,7.51819438103246,2,-2,0,0.2,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
24,"Vessel bias_psets0.2","vessels",7.44592452384536,7.4343589010533,0.011565622792064,0.126229635210575,-0.581575635679138,0.590859660317613,-7.80656916128294,7.60134316666238,2,-2,0,0.2,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
25,"Vessel bias_psets0.3","sets",7.43587501266901,7.43255597684979,0.00331903581921592,0.0435081321586002,-0.90991885035502,1.00395923535025,-12.0267972742472,13.6952313062432,2,-2,0,0.3,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
25,"Vessel bias_psets0.3","trips",7.45615862136733,7.43255597684979,0.023602644517533,0.332274143175396,-1.29299715709788,1.50956919505574,-16.6678386685405,20.121178710015,2,-2,0,0.3,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
