"parameter_set_id","description","strategy","mean_estimated_rate","mean_monitored_sets","mean_true_rate","mean_true_catch","mean_estimated_catch","mean_catch_real","lower_ci_catch_real","upper_ci_catch_real","mean_catch_estimated","lower_ci_catch_estimated","upper_ci_catch_estimated","mean_catch_missed","lower_ci_catch_missed","upper_ci_catch_missed","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
11,"Vessel bias","sets",9.49481880431667,2642.39,9.50127381950062,125389.473,125337.610161055,125389.473,77964.275,197304.325,125337.610161055,76583.4962189486,204177.654393006,51.86283894464,-13059.0602301939,12445.2491132199,-0.00645501518394439,-0.041720504135365,-1.01028432633853,0.995062602777315,-9.77202568074471,10.1971904327224,2,1,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
11,"Vessel bias","trips",9.50321201897505,2639.155,9.50127381950062,125389.473,125409.990161043,125389.473,77964.275,197304.325,125409.990161043,76215.8909557382,205779.941769317,-20.5171610430444,-12550.4823575877,11497.5690095768,0.00193819947443126,0.0150881485833764,-0.920609295203925,0.932757367406445,-9.23800309497141,9.44565223617491,2,1,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
11,"Vessel bias","vessels",9.51148157619694,2640.284,9.50127381950062,125389.473,125511.955619709,125389.473,77964.275,197304.325,125511.955619709,76008.3813875109,200671.311380565,-122.482619708887,-13824.1918921839,12671.8014926608,0.0102077566963269,0.076600089724866,-0.968327518515999,1.13316473255302,-9.17786374211186,10.5580433208056,2,1,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
12,"Trip bias","sets",9.58018244091785,2621.607,9.55869503771727,125392.181,125737.70590327,125392.181,74473.525,200465.000000001,125737.70590327,74382.8794193371,198626.960224382,-345.52490326964,-14049.9664559956,12899.6551120875,0.0214874032005816,0.278920726627285,-1.0038328352998,1.12741639241032,-9.49225971103061,10.9668311294448,3,1,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
12,"Trip bias","trips",9.56173108984155,2618.815,9.55869503771727,125392.181,125464.601528424,125392.181,74473.525,200465.000000001,125464.601528424,73846.0437391105,196284.838742959,-72.4205284238127,-12293.9706295033,11049.7007497069,0.00303605212427762,0.0350842563175935,-0.83952159118326,0.954865889194593,-8.79647926548548,9.62964943256942,3,1,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
12,"Trip bias","vessels",9.56317360550858,2620.251,9.55869503771727,125392.181,125454.139297288,125392.181,74473.525,200465.000000001,125454.139297288,74273.5755696299,205607.379030929,-61.958297287909,-12445.8389082815,12056.5123509818,0.00447856779130286,0.0317688570020906,-0.974440315946935,0.95303563128885,-9.33623463186236,10.1514427662924,3,1,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
13,"Baseline 20%","sets",9.61802743542532,525.576,9.64761233022208,126717.913,126359.750165087,126717.913,77390.45,199435.225000001,126359.750165087,73207.0166079175,212580.766999003,358.162834912723,-34666.71813589,27707.5699437046,-0.0295848947967571,-0.318400937591209,-2.15273037924243,2.61969519660213,-21.1552300959165,26.5964044034416,4,0.2,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
13,"Baseline 20%","trips",9.57273917678658,524.956,9.64761233022208,126717.913,125762.814212411,126717.913,77390.45,199435.225000001,125762.814212411,64815.0158487982,218008.251147742,955.098787589069,-54502.2418389262,41527.3460430144,-0.0748731534354945,-0.607854124529532,-3.16846579756583,3.96951763795423,-31.891417961096,40.6601411927403,4,0.2,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
13,"Baseline 20%","vessels",9.53662823673579,521.564,9.64761233022208,126717.913,125328.852230952,126717.913,77390.45,199435.225000001,125328.852230952,47668.2170245067,277414.598775497,1389.06076904776,-129775.277329309,84287.5379192541,-0.110984093486287,-0.912960429577325,-6.08777385969326,10.0080801385902,-57.5054374079465,93.106258455788,4,0.2,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
14,"Vessel bias 20%","sets",9.61191390419972,526.301,9.62690034823006,126709.6,126453.527405224,126709.6,76789.625,204093.675,126453.527405224,72927.9497185025,206920.89241804,256.07259477598,-37381.0470029228,30719.3935613604,-0.0149864440303362,-0.0787206468520957,-2.34919913448059,2.85425826416029,-22.7350217905062,28.5903527422059,5,0.2,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
14,"Vessel bias 20%","trips",9.62526133203224,522.363,9.62690034823006,126709.6,126533.503967258,126709.6,76789.625,204093.675,126533.503967258,67747.4287000932,223733.847613272,176.09603274211,-60483.1109080855,41650.3545245419,-0.00163901619781846,0.112234835672322,-3.28770544200356,4.79332942554544,-30.6514697831541,47.0179800584861,5,0.2,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
14,"Vessel bias 20%","vessels",4.32703084857941,748.746,9.62690034823006,126709.6,56921.6048436958,126709.6,76789.625,204093.675,56921.6048436958,28500.705972024,105795.815007954,69787.9951563042,18848.9544370037,141360.011645047,-5.29986949965065,-53.7528627428049,-10.1791688125786,-1.5697667416303,-78.4837675081377,-20.3778523594603,5,0.2,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
15,"Trip bias 20%","sets",9.58243422795187,524.655,9.59560615507216,126110.75,126001.960379975,126110.75,73592.975,197438.825,126001.960379975,68375.912227606,203473.508370386,108.789620024507,-35271.4092906969,27140.3481884051,-0.0131719271202967,-0.168116509801302,-2.15051363017273,2.57988271258534,-22.1047199471854,26.4509782676886,6,0.2,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
