"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
15,"Trip bias 30%","trips",3.17355884455975,13.9025377877975,-10.7289789432377,-76.8097101918725,-15.5629919908979,-7.32971635383497,-83.9370466502974,-67.4152682583084,12,0.3,0,-2,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
15,"Trip bias 30%","vessels",13.7424417918303,13.9025377877975,-0.160095995967126,-0.846368320354311,-7.13899964999442,7.60893489634614,-45.4408025787977,53.9395003378522,12,0.3,0,-2,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
16,"Baseline 100%","sets",13.8570876590857,13.8038151365743,0.05327252251142,0.397175415889577,-1.93322490726461,2.33951035546472,-12.8266342605282,15.4807996939373,13,1,0,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
16,"Baseline 100%","trips",13.7771177562912,13.8038151365743,-0.0266973802830907,-0.210562157101237,-1.79384595977849,1.79468213375381,-12.0293692054803,12.5276881819124,13,1,0,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
16,"Baseline 100%","vessels",13.7901573869458,13.8038151365743,-0.0136577496284566,-0.0436461259897577,-2.01022577409913,2.22137957660862,-13.3525587144227,15.6706733569491,13,1,0,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
17,"Vessel bias 100%","sets",13.8681289675392,13.8673228346246,0.000806132914600683,0.000783867423588442,-1.9619729438648,2.04628756176282,-13.8901393436238,14.7951372341537,14,1,-2,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
17,"Vessel bias 100%","trips",13.8891814842794,13.8673228346246,0.0218586496547483,0.14808148503052,-1.68731285937234,1.93435844887945,-11.3191864455665,13.1159926117262,14,1,-2,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
17,"Vessel bias 100%","vessels",13.9418364599263,13.8673228346246,0.0745136253016738,0.526756568805568,-1.79629016600966,2.46824235302198,-12.5145924455801,16.5697869064553,14,1,-2,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
18,"Trip bias 100%","sets",13.94301923274,13.9222210902702,0.0207981424697925,0.0994534637337089,-2.05438693635281,2.19359758501215,-13.9738797510481,14.0542379737251,15,1,0,-2,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
18,"Trip bias 100%","trips",13.9382909291409,13.9222210902702,0.0160698388706954,0.0964984413542937,-1.77319244348775,1.91696493401246,-11.7771969647842,12.9665838937131,15,1,0,-2,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
18,"Trip bias 100%","vessels",13.9027366424191,13.9222210902702,-0.0194844478511349,-0.109736412153658,-2.05697654281964,2.27294204624316,-13.5113051035614,15.247358640486,15,1,0,-2,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
19,"Baseline 30%","sets",0.11648317742741,0.116012595288319,0.000470582139091334,0.405483937788803,-0.0280232183912987,0.0332657217097936,-23.8445406217563,29.2343999418008,10,0.3,0,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
19,"Baseline 30%","trips",0.11533912294954,0.116012595288319,-0.000673472338778955,-0.639218033306055,-0.0351598163934928,0.0385970165257013,-29.0435779645814,32.1469752425589,10,0.3,0,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
19,"Baseline 30%","vessels",0.116114263490243,0.116012595288319,0.00010166820192431,0.236889569289924,-0.0487067941497232,0.065253925019504,-40.6050105488941,55.0509264239852,10,0.3,0,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
20,"Vessel bias 30%","sets",0.115545363779189,0.115196553025002,0.000348810754186745,0.415656104125236,-0.0292021676382318,0.0324888827472395,-23.8240314318529,28.4637856847464,11,0.3,-2,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
20,"Vessel bias 30%","trips",0.115528090043827,0.115196553025002,0.000331537018824827,0.341275870930722,-0.0340496325736879,0.0387520372956265,-28.783983459313,34.8510474892461,11,0.3,-2,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
20,"Vessel bias 30%","vessels",0.0806146740415062,0.115196553025002,-0.0345818789834955,-29.5603061547754,-0.0752271071693244,0.0035593209261705,-57.8680490746376,2.67279374256882,11,0.3,-2,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
21,"Trip bias 30%","sets",0.115531457702394,0.115673185652947,-0.000141727950553013,-0.11348006332284,-0.0305697288599609,0.0307723202378386,-25.4283941540126,27.1075683175418,12,0.3,0,-2,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
21,"Trip bias 30%","trips",0.0720293119657297,0.115673185652947,-0.043643873687217,-37.6119710783299,-0.0732559120582783,-0.0164151308919589,-57.1475754432754,-14.8006720091608,12,0.3,0,-2,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
21,"Trip bias 30%","vessels",0.114294286949311,0.115673185652947,-0.00137889870363552,-1.12739957618799,-0.0514429691166735,0.0645149508360661,-42.3958655332024,53.645437907008,12,0.3,0,-2,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
22,"Baseline 100%","sets",0.116142751308288,0.116062633547885,8.01177604032831e-05,0.0644710318745244,-0.0153338873195085,0.0164554500235229,-12.850310914153,13.8970147184654,13,1,0,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
